Date/Time,OFFICE-0-0:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-0-1:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-0-2:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-0-3:Zone Lights Electricity Energy [J](RunPeriod),TOILET-0-0:Zone Lights Electricity Energy [J](RunPeriod),STAIRS-0-0:Zone Lights Electricity Energy [J](RunPeriod),TECHNIC-0-0:Zone Lights Electricity Energy [J](RunPeriod),CORRIDOR-0-0:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-1-0:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-1-1:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-1-2:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-1-3:Zone Lights Electricity Energy [J](RunPeriod),TOILET-1-0:Zone Lights Electricity Energy [J](RunPeriod),STAIRS-1-0:Zone Lights Electricity Energy [J](RunPeriod),SERVICE-1-0:Zone Lights Electricity Energy [J](RunPeriod),CORRIDOR-1-0:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-2-0:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-2-1:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-2-4:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-2-2:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-2-3:Zone Lights Electricity Energy [J](RunPeriod),TOILET-2-0:Zone Lights Electricity Energy [J](RunPeriod),STAIRS-2-0:Zone Lights Electricity Energy [J](RunPeriod),TECHNIC-2-0:Zone Lights Electricity Energy [J](RunPeriod),CORRIDOR-2-0:Zone Lights Electricity Energy [J](RunPeriod),OFFICE-0-0:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-0-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-0-1:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-0-1:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-0-2:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-0-2:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-0-3:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-0-3:Zone Air System Sensible Cooling Rate [W](RunPeriod),TOILET-0-0:Zone Air System Sensible Heating Rate [W](RunPeriod),TOILET-0-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),STAIRS-0-0:Zone Air System Sensible Heating Rate [W](RunPeriod),STAIRS-0-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),TECHNIC-0-0:Zone Air System Sensible Heating Rate [W](RunPeriod),TECHNIC-0-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),CORRIDOR-0-0:Zone Air System Sensible Heating Rate [W](RunPeriod),CORRIDOR-0-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-1-0:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-1-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-1-1:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-1-1:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-1-2:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-1-2:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-1-3:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-1-3:Zone Air System Sensible Cooling Rate [W](RunPeriod),TOILET-1-0:Zone Air System Sensible Heating Rate [W](RunPeriod),TOILET-1-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),STAIRS-1-0:Zone Air System Sensible Heating Rate [W](RunPeriod),STAIRS-1-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),SERVICE-1-0:Zone Air System Sensible Heating Rate [W](RunPeriod),SERVICE-1-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),CORRIDOR-1-0:Zone Air System Sensible Heating Rate [W](RunPeriod),CORRIDOR-1-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-2-0:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-2-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-2-1:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-2-1:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-2-4:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-2-4:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-2-2:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-2-2:Zone Air System Sensible Cooling Rate [W](RunPeriod),OFFICE-2-3:Zone Air System Sensible Heating Rate [W](RunPeriod),OFFICE-2-3:Zone Air System Sensible Cooling Rate [W](RunPeriod),TOILET-2-0:Zone Air System Sensible Heating Rate [W](RunPeriod),TOILET-2-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),STAIRS-2-0:Zone Air System Sensible Heating Rate [W](RunPeriod),STAIRS-2-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),TECHNIC-2-0:Zone Air System Sensible Heating Rate [W](RunPeriod),TECHNIC-2-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),CORRIDOR-2-0:Zone Air System Sensible Heating Rate [W](RunPeriod),CORRIDOR-2-0:Zone Air System Sensible Cooling Rate [W](RunPeriod),CORRIDOR-0-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),CORRIDOR-1-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),CORRIDOR-2-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-0-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-0-1 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-0-2 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-0-3 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-1-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-1-1 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-1-2 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-1-3 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-2-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-2-1 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-2-2 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-2-3 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),OFFICE-2-4 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),SERVICE-1-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),STAIRS-0-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),STAIRS-1-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),STAIRS-2-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),TECHNIC-0-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),TECHNIC-2-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),TOILET-0-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),TOILET-1-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),TOILET-2-0 WAHP:Zone Water to Air Heat Pump Electricity Energy [J](RunPeriod),MAINTOWER:Cooling Tower Fan Electricity Energy [J](RunPeriod) 
simdays=30,307815693.16679966,264359360.01384005,264359360.01384005,253495276.72559798,73138747.50000001,71646120.00000001,11609325.0,265687695.0,253495276.72559798,264359360.01384005,264359360.01384005,253495276.72559798,73138747.50000001,125380710.00000001,11609325.0,265687695.0,253495276.72559798,183482295.53471804,195452905.82454115,183482295.53471804,253495276.72559798,73138747.50000001,125380710.00000001,11609325.0,232352347.50000003,635.5986642872863,0.0,564.7016741165926,0.0,527.5335602204743,0.0,487.29084865865525,0.0,48.512064843063335,0.0,134.32647168607522,0.0,89.25398712052642,0.0,284.18619644323957,0.0,311.43143279740167,0.0,343.565325527542,0.0,303.0921634096423,0.0,271.4547812269128,0.0,0.5264662804345924,0.0,102.26662795508584,0.0,3.563604925505469,0.0,39.72269915537575,0.0,560.0376379817385,0.0,360.10367929804295,0.0,577.2292780590319,0.0,334.8265661389179,0.0,525.3849285642924,0.0,57.2222802993486,0.0,233.39992446168586,0.0,100.7617389076503,0.0,243.0426016393217,0.0,676035614.5836428,103321170.80025142,615507750.685743,826742079.1903169,824341018.8657514,824136953.0089056,823291441.0812218,760634775.4140166,786124901.0355419,759462193.8320957,716369683.4327297,824194801.4735113,799235493.8534236,782366139.6981797,824006146.922436,827013586.7187601,9608475.050654199,384435252.31114286,298463423.16332823,632693353.1152436,245296641.35556704,273810870.580397,136687298.3230038,1263967.4939513588,159768148.8051167,0.0 
simdays=31,295600784.7077992,253868909.21963987,253868909.21963987,243435940.3475983,70236416.25000001,68803020.00000001,11148637.5,255144532.5,243435940.3475983,253868909.21963987,253868909.21963987,243435940.3475983,70236416.25000001,120405285.00000001,11148637.5,255144532.5,243435940.3475983,176201252.0611178,187696838.13309097,176201252.0611178,243435940.3475983,70236416.25000001,120405285.00000001,11148637.5,223132016.25000003,1070.7209575510217,0.0,932.4240745423986,0.0,893.4951203831762,0.0,836.1858479150229,0.0,107.60892085783901,0.0,215.82141123714857,0.0,183.7486820072997,0.0,540.8622171156592,0.0,580.6766623928746,0.0,626.7679287166658,0.0,588.9435744824925,0.0,543.891182410417,0.0,22.372399931299498,0.0,197.88739154950903,0.0,56.74550174456397,0.0,194.08876510043754,0.0,940.5531047672365,0.0,601.8486869367745,0.0,945.5930130023897,0.0,575.7150115462077,0.0,903.6534365768761,0.0,124.99020810665397,0.0,383.90390660661257,0.0,193.14862305936498,0.0,478.77649226016587,0.0,938514554.644454,483225131.7671424,933128877.3704127,1126457346.3592434,1094231106.3494208,1073447023.7573507,1056205066.9334154,935420201.4513153,957584882.5323153,932951145.4947685,905955537.1467941,1107938217.287263,1010601435.4754366,995699847.3832345,1087878441.5806043,1159011407.5643644,173606877.97946215,608898332.1168451,549261857.9772153,927568505.5219065,502531866.24937034,524468963.92247987,309128475.95065576,65214993.761956096,355445774.33787507,0.0 
simdays=31,321533974.97459954,276140943.21348,276140943.21348,264792685.27319783,76398288.75000001,74839140.00000001,12126712.5,277528477.5,264792685.27319783,276140943.21348,276140943.21348,264792685.27319783,76398288.75000001,130968495.00000001,12126712.5,277528477.5,264792685.27319783,191659467.4358375,204163566.46263132,191659467.4358375,264792685.27319783,76398288.75000001,130968495.00000001,12126712.5,242707488.75000003,1125.257673930023,0.0,974.7477998629454,0.0,944.74526933721,0.0,890.227597625251,0.0,110.01933345185853,0.0,218.47328111802457,0.0,186.15320898861756,0.0,546.159152354534,0.0,590.2605731817113,0.0,630.110248806473,0.0,600.9932645136624,0.0,561.5155746897376,0.0,14.226473464172768,0.0,187.77667438796553,0.0,40.04771008532895,0.0,164.52977908958852,0.0,952.0424246477828,0.0,606.2526842766794,0.0,950.3996682419668,0.0,586.3630922887802,0.0,924.0441394797922,0.0,116.76964382294099,0.0,371.78810422175724,0.0,187.44898822618194,0.0,450.7177757985588,0.0,867532023.3015546,418296800.5916785,828309715.0796329,1166413495.450046,1108998848.3621383,1086513629.756386,1063870410.7107072,870713550.8255564,874417366.2461766,869928600.4807646,863989978.4167669,1113251793.675317,966522670.2594026,952327023.4606112,1093153380.2815847,1151800828.190152,119950773.30341105,610769425.1652707,523503938.2910104,864092880.5472019,504792509.3774495,505462074.606574,311237940.08990556,41599867.46918805,328714338.6794205,0.0 
simdays=28,280379129.5511993,240796193.61456007,240796193.61456004,230900459.63039842,66619665.00000001,65260080.00000001,10574550.0,242006130.0,230900459.63039842,240796193.61456007,240796193.61456004,230900459.63039842,66619665.00000001,114205140.00000001,10574550.0,242006130.0,230900459.63039842,167127951.73247838,178031584.54836082,167127951.73247838,230900459.63039842,66619665.00000001,114205140.00000001,10574550.0,211642065.00000003,989.7000044895914,0.0,899.0376201665929,0.0,821.2537389368366,0.0,738.7402978715752,0.0,109.52465603081188,0.0,208.9607261490337,0.0,151.27687492660357,0.0,517.361795861284,0.0,493.2365555712043,0.0,561.0155942393948,0.0,491.5111430230688,0.0,424.77023220678547,0.0,14.879580906827048,0.0,176.61037603264165,0.0,31.35448217227475,0.0,143.86319929485524,0.0,832.553533247658,0.0,552.4120581116525,0.0,859.0578980426673,0.0,500.5323668760661,0.0,761.2889934465409,0.0,111.27416461761801,0.0,351.5950705224205,0.0,165.43878281900157,0.0,414.00335262870794,0.0,753945324.0601494,347723129.7611812,735897450.5430264,915907146.9529424,883739273.1933054,842142497.9086772,809016254.0878793,732766190.1447964,730091998.7293689,735948692.4597203,736896859.3295391,859741933.3062499,774762603.1874439,759562589.1968882,825432479.5425384,912307830.5025727,82456401.78363377,526633285.6270149,454533184.7567313,751683245.3955342,362045475.0950554,392262036.16700995,269082606.6153904,37262709.8684235,273592047.711851,0.0 
